localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
280.9731804,null,4/22/1948,null,null,,,,,,,,,,,
280.9889421,null,6/29/1948,null,null,,,,,,,,,,,
281.0055092,null,10/15/1948,null,null,,,,,,,,,,,
281.0336469,null,1/12/1949,null,null,,,,,,,,,,,
281.0756891,null,3/4/1949,null,null,,,,,,,,,,,
281.1151181,null,4/18/1949,null,null,,,,,,,,,,,
null,0.364345143,6/24/1949,null,null,,,,,,,,,,,
null,0.368290354,7/16/1949,null,null,,,,,,,,,,,
281.1963592,null,8/9/1949,null,null,,,,,,,,,,,
281.1229908,null,8/9/1949,null,null,,,,,,,,,,,
281.2121209,null,8/28/1949,null,null,,,,,,,,,,,
281.2274882,null,9/1/1949,null,null,,,,,,,,,,,
281.2431513,null,10/3/1949,null,null,,,,,,,,,,,
281.2786028,null,11/16/1949,null,null,,,,,,,,,,,
281.3169306,null,1/26/1950,null,null,,,,,,,,,,,
281.3398747,null,3/1/1950,null,null,,,,,,,,,,,
null,0.401816435,3/21/1950,null,null,,,,,,,,,,,
281.356261,null,5/1/1950,null,null,,,,,,,,,,,
281.3922878,null,8/12/1950,null,null,,,,,,,,,,,
281.4636675,null,1/30/1951,null,null,,,,,,,,,,,
281.5499872,null,6/2/1951,null,null,,,,,,,,,,,
281.6259853,null,9/14/1951,null,null,,,,,,,,,,,
null,0.46295078,10/6/1951,null,null,,,,,,,,,,,
281.6914318,null,2/2/1952,null,null,,,,,,,,,,,
281.7339342,null,7/1/1952,null,null,,,,,,,,,,,
281.7548403,null,3/28/1953,null,null,,,,,,,,,,,
null,0.683808668,10/19/1953,null,null,,,,,,,,,,,
281.7509615,null,11/23/1953,null,null,,,,,,,,,,,
null,0.693671697,12/3/1953,null,null,,,,,,,,,,,
null,0.68775388,1/17/1954,null,null,,,,,,,,,,,
281.7596888,null,2/8/1954,null,null,,,,,,,,,,,
281.7696652,null,2/14/1954,null,null,,,,,,,,,,,
281.7790828,null,3/19/1954,null,null,,,,,,,,,,,
281.8046894,null,4/25/1954,null,null,,,,,,,,,,,
281.8327614,null,6/7/1954,null,null,,,,,,,,,,,
null,0.595074279,11/6/1954,null,null,,,,,,,,,,,
null,0.585219469,12/21/1954,null,null,,,,,,,,,,,
281.944852,null,1/18/1955,null,null,,,,,,,,,,,
281.9558475,null,5/3/1955,null,null,,,,,,,,,,,
null,0.551693388,5/5/1955,null,null,,,,,,,,,,,
null,0.528030336,8/25/1955,null,null,,,,,,,,,,,
281.9448356,null,10/4/1955,null,null,,,,,,,,,,,
null,0.504367285,1/8/1956,null,null,,,,,,,,,,,
281.9427154,null,2/9/1956,null,null,,,,,,,,,,,
null,0.500422073,2/22/1956,null,null,,,,,,,,,,,
281.9550092,null,2/29/1956,null,null,,,,,,,,,,,
281.9648542,null,4/3/1956,null,null,,,,,,,,,,,
