localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
131.122923,131.122923,8/30/84,null,null,,,,,,,,,,
134.3638366,134.3638366,9/30/84,null,null,,,,,,,,,,
134.829287,134.829287,10/30/84,null,null,,,,,,,,,,
136.3731265,136.3731265,11/30/84,null,null,,,,,,,,,,
134.7258536,134.7258536,12/30/84,null,null,,,,,,,,,,
135.0859551,135.0859551,1/30/85,null,null,,,,,,,,,,
141.6750467,141.6750467,3/1/85,null,null,,,,,,,,,,
142.3952497,142.3952497,3/31/85,null,null,,,,,,,,,,
140.7479768,140.7479768,5/1/85,null,null,,,,,,,,,,
142.3952497,142.3952497,5/31/85,null,null,,,,,,,,,,
140.0277738,140.0277738,7/1/85,null,null,,,,,,,,,,
138.8957525,138.8957525,7/31/85,null,null,,,,,,,,,,
137.6602978,137.6602978,8/31/85,null,null,,,,,,,,,,
null,null,9/28/85,0,-480,,,,,,,,,,
138.1238328,138.1238328,9/30/85,null,null,,,,,,,,,,
135.8061581,135.8061581,10/30/85,null,null,,,,,,,,,,
134.829287,134.829287,11/30/85,null,null,,,,,,,,,,
136.6297946,136.6297946,12/30/85,null,null,,,,,,,,,,
136.6297946,136.6297946,12/30/85,null,null,,,,,,,,,,
135.6012067,135.6012067,1/30/86,null,null,,,,,,,,,,
129.1136331,129.1136331,3/1/86,null,null,,,,,,,,,,
130.2973711,130.2973711,4/1/86,null,null,,,,,,,,,,
129.8874683,129.8874683,5/1/86,null,null,,,,,,,,,,
129.0121151,129.0121151,6/1/86,null,null,,,,,,,,,,
128.3417134,128.3417134,7/2/86,null,null,,,,,,,,,,
127.9816118,127.9816118,8/1/86,null,null,,,,,,,,,,
null,null,8/14/86,720,-480,,,,,,,,,,
127.4165589,127.4165589,9/1/86,null,null,,,,,,,,,,
127.5697936,127.5697936,10/1/86,null,null,,,,,,,,,,
127.2096921,127.2096921,11/1/86,null,null,,,,,,,,,,
127.1579754,127.1579754,12/1/86,null,null,,,,,,,,,,
127.1579754,127.1579754,12/31/86,null,null,,,,,,,,,,
126.7978739,126.7978739,1/31/87,null,null,,,,,,,,,,
127.3131255,127.3131255,3/2/87,null,null,,,,,,,,,,
129.2170665,129.2170665,4/2/87,null,null,,,,,,,,,,
131.6362592,131.6362592,5/2/87,null,null,,,,,,,,,,
132.4598956,132.4598956,6/2/87,null,null,,,,,,,,,,
131.9963607,131.9963607,7/2/87,null,null,,,,,,,,,,
131.7396926,131.7396926,8/1/87,null,null,,,,,,,,,,
130.6574726,130.6574726,9/1/87,null,null,,,,,,,,,,
null,null,9/18/87,0,-960,,,,,,,,,,
129.8357516,129.8357516,10/1/87,null,null,,,,,,,,,,
128.0850453,128.0850453,11/1/87,null,null,,,,,,,,,,
128.7018149,128.7018149,12/1/87,null,null,,,,,,,,,,
131.122923,131.122923,12/31/87,null,null,,,,,,,,,,
112.3325193,112.3325193,1/31/88,null,null,,,,,,,,,,
131.7396926,131.7396926,3/1/88,null,null,,,,,,,,,,
131.7914093,131.7914093,4/1/88,null,null,,,,,,,,,,
131.0194895,131.0194895,5/1/88,null,null,,,,,,,,,,
129.7840349,129.7840349,6/1/88,null,null,,,,,,,,,,
127.3131255,127.3131255,7/1/88,null,null,,,,,,,,,,
126.6427237,126.6427237,7/31/88,null,null,,,,,,,,,,
126.7978739,126.7978739,8/31/88,null,null,,,,,,,,,,
null,null,9/4/88,720,-960,,,,,,,,,,
126.2826222,126.2826222,9/30/88,null,null,,,,,,,,,,
126.1293875,126.1293875,10/31/88,null,null,,,,,,,,,,
