localdata,globaldata,date,x,y,totalimgwidth,totalimgheight,singleimgwidth,singleimgheight,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
null,null,4/3/2008,0,-720,,,,,,,,,,,,,,,
null,-164.4131016,5/28/2008,null,null,,,,,,,,,,,,,,,
null,-170.1737968,7/25/2008,null,null,,,,,,,,,,,,,,,
null,-174.7326203,9/21/2008,null,null,,,,,,,,,,,,,,,
null,-178.3796791,11/18/2008,null,null,,,,,,,,,,,,,,,
null,-179.4572193,1/15/2009,null,null,,,,,,,,,,,,,,,
null,-179.9545455,3/14/2009,null,null,,,,,,,,,,,,,,,
59.80140436,null,4/1/2009,-720,-720,,,,,,,,,,,,,,,
null,-183.3529412,5/11/2009,null,null,,,,,,,,,,,,,,,
null,-184.0574866,7/8/2009,null,null,,,,,,,,,,,,,,,
null,-185.3836898,9/3/2009,null,null,,,,,,,,,,,,,,,
null,-184.3475936,10/31/2009,null,null,,,,,,,,,,,,,,,
null,-176.9705882,12/28/2009,null,null,,,,,,,,,,,,,,,
null,-167.6641532,1/26/2010,null,null,,,,,,,,,,,,,,,
null,-159.8655929,3/17/2010,null,null,,,,,,,,,,,,,,,
null,null,3/26/2010,-1440,0,,,,,,,,,,,,,,,
84.0461443,null,4/1/2010,null,null,,,,,,,,,,,,,,,
null,-141.8676471,6/15/2010,null,null,,,,,,,,,,,,,,,
null,-133.2887701,8/12/2010,null,null,,,,,,,,,,,,,,,
null,-126.0775401,10/9/2010,null,null,,,,,,,,,,,,,,,
null,-118.5347594,12/6/2010,null,null,,,,,,,,,,,,,,,
null,-115.1363636,2/1/2011,null,null,,,,,,,,,,,,,,,
null,-115.8409091,3/31/2011,-1440,-720,,,,,,,,,,,,,,,
90.99257324,null,4/1/2011,null,null,,,,,,,,,,,,,,,
null,-117.4986631,5/28/2011,null,null,,,,,,,,,,,,,,,
null,-122.1403743,7/25/2011,null,null,,,,,,,,,,,,,,,
null,-123.6323529,9/21/2011,null,null,,,,,,,,,,,,,,,
null,-122.9692513,11/18/2011,null,null,,,,,,,,,,,,,,,
null,-121.0628342,1/15/2012,null,null,,,,,,,,,,,,,,,
null,-123.8395722,3/13/2012,null,null,,,,,,,,,,,,,,,
36.74297754,null,4/1/2012,null,null,,,,,,,,,,,,,,,
null,null,4/26/2012,0,-1440,,,,,,,,,,,,,,,
null,-133.9656863,4/27/2012,null,null,,,,,,,,,,,,,,,
null,-144.5117647,5/26/2012,null,null,,,,,,,,,,,,,,,
null,-155.4789916,6/26/2012,null,null,,,,,,,,,,,,,,,
null,-161.9933333,8/13/2012,null,null,,,,,,,,,,,,,,,
null,-157.1991087,10/10/2012,null,null,,,,,,,,,,,,,,,
null,-165.7558824,12/6/2012,null,null,,,,,,,,,,,,,,,
null,-161.7255102,1/20/2013,null,null,,,,,,,,,,,,,,,
null,-152.4962185,2/11/2013,null,null,,,,,,,,,,,,,,,
null,-139.8826593,3/1/2013,null,null,,,,,,,,,,,,,,,
null,null,3/29/2013,-720,-1440,,,,,,,,,,,,,,,
31.91857027,null,4/1/2013,null,null,,,,,,,,,,,,,,,
null,-146.2745098,4/7/2013,null,null,,,,,,,,,,,,,,,
null,-158.1491597,4/22/2013,null,null,,,,,,,,,,,,,,,
null,-170.2843137,5/8/2013,null,null,,,,,,,,,,,,,,,
20.10263028,null,4/1/2014,null,null,,,,,,,,,,,,,,,
null,null,4/6/2014,-1440,-1440,,,,,,,,,,,,,,,
null,null,3/31/2015,-2160,0,,,,,,,,,,,,,,,
4.60701543,null,4/1/2015,null,null,,,,,,,,,,,,,,,
null,null,4/2/2016,-2160,-720,,,,,,,,,,,,,,,
