"date","insitu","mining","file","x","y"
"1986-11-01",14.21290619,42.23061006,NA,NA,NA
"1986-12-01",14.41025445,42.07732986,NA,NA,NA
"1986-12-31",14.51563458,42.12522992,NA,NA,NA
"1987-01-31",13.5902054,41.97194972,NA,NA,NA
"1987-03-02",14.41791845,42.23061006,NA,NA,NA
"1987-04-02",15.34143164,44.34204476,NA,NA,NA
"1987-05-02",15.08277131,48.05717351,NA,NA,NA
"1987-06-01",16.98536174,48.57449418,NA,NA,NA
"1987-07-02",14.56545064,48.77567443,NA,NA,NA
"1987-08-01",13.73773758,48.77567443,NA,NA,NA
"1987-09-01",13.1227008,47.53793685,NA,NA,NA
"1987-09-18",NA,NA,"athabasca_tm5_19870918",0,-960
"1987-10-01",12.45018394,46.66423973,NA,NA,NA
"1987-11-01",11.67420294,44.4531729,NA,NA,NA
"1987-12-01",13.79138565,44.2998927,NA,NA,NA
"1987-12-31",22.13366033,44.25007664,NA,NA,NA
"1988-01-31",21.21206315,35.75068976,NA,NA,NA
"1988-03-01",20.80012262,46.97271613,NA,NA,NA
"1988-04-01",19.61603311,47.43447272,NA,NA,NA
"1988-05-01",18.53732373,46.76195586,NA,NA,NA
"1988-06-01",19.51831698,44.90151747,NA,NA,NA
"1988-07-01",22.14515635,40.99095647,NA,NA,NA
"1988-07-31",21.78494788,40.22263948,NA,NA,NA
"1988-08-31",21.94014408,40.58284795,NA,NA,NA
"1988-09-04",NA,NA,"athabasca_tm5_19880904",-720,-960
"1988-09-30",20.95723483,40.58284795,NA,NA,NA
"1988-10-31",20.69665849,40.12300736,NA,NA,NA
"1988-11-30",20.33836603,40.32801962,NA,NA,NA
"1988-12-31",14.46965052,40.42956775,NA,NA,NA
"1989-01-30",15.14408338,39.91033109,NA,NA,NA
"1989-03-01",15.24946352,38.98873391,NA,NA,NA
"1989-04-01",15.60775598,39.96972716,NA,NA,NA
"1989-05-01",13.85652974,39.24931024,NA,NA,NA
"1989-07-01",13.19359289,39.7647149,NA,NA,NA
"1989-08-01",13.34687308,40.0751073,NA,NA,NA
"1989-08-06",NA,NA,"athabasca_tm5_19890806",-1440,0
"1989-08-31",13.19359289,39.81644697,NA,NA,NA
"1989-09-30",15.66715205,39.81644697,NA,NA,NA
"1989-10-31",15.56177192,39.86434703,NA,NA,NA
"1989-11-30",16.74394543,42.74601471,NA,NA,NA
"1989-12-31",15.14791539,42.80349479,NA,NA,NA
"1990-01-30",15.45447578,42.74601471,NA,NA,NA
"1990-03-02",16.37798896,42.38772226,NA,NA,NA
"1990-04-01",17.20570202,41.97386573,NA,NA,NA
"1990-05-01",16.68646536,41.81866953,NA,NA,NA
"1990-06-01",16.0158645,40.26862354,NA,NA,NA
"1990-07-01",13.9025138,40.26862354,NA,NA,NA
"1990-07-24",NA,NA,"athabasca_tm5_19900724",-1440,-480
"1990-08-01",14.57311465,39.55012262,NA,NA,NA
"1990-10-31",14.26463826,39.55012262,NA,NA,NA
"1990-11-30",13.4369252,36.51134273,NA,NA,NA
"1990-12-31",13.79904966,36.09940221,NA,NA,NA
"1991-01-30",13.9044298,35.78900981,NA,NA,NA
"1991-03-02",14.57886266,35.53609749,NA,NA,NA
"1991-04-01",14.68232679,35.01494482,NA,NA,NA
"1991-06-01",14.11519007,35.22378909,NA,NA,NA
"1991-07-01",13.85461373,34.96321275,NA,NA,NA
"1991-07-27",NA,NA,"athabasca_tm5_19910727",-1440,-960
"1991-08-01",11.99609135,34.81376456,NA,NA,NA
"1991-08-31",12.46551196,34.39607603,NA,NA,NA
"1991-10-01",15.18815144,35.11840895,NA,NA,NA
