localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
null,269.48,23284,null,null,,,,,,,,,,
null,270.36,23315,null,null,,,,,,,,,,
null,292.35,23345,null,null,,,,,,,,,,
null,306.65,23376,null,null,,,,,,,,,,
null,283.37,23407,null,null,,,,,,,,,,
null,297.67,23436,null,null,,,,,,,,,,
null,272.69,23467,null,null,,,,,,,,,,
null,268.86,23497,null,null,,,,,,,,,,
null,271.01,23528,null,null,,,,,,,,,,
null,273.67,23558,null,null,,,,,,,,,,
null,274.58,23589,null,null,,,,,,,,,,
null,273.27,23620,null,null,,,,,,,,,,
null,283.61,23650,null,null,,,,,,,,,,
null,285.54,23681,null,null,,,,,,,,,,
null,308.85,23711,null,null,,,,,,,,,,
null,324.51,23742,null,null,,,,,,,,,,
null,301.46,23773,null,null,,,,,,,,,,
null,317.95,23801,null,null,,,,,,,,,,
null,292.63,23832,null,null,,,,,,,,,,
null,288.06,23862,null,null,,,,,,,,,,
null,289.99,23893,null,null,,,,,,,,,,
null,293.8,23923,null,null,,,,,,,,,,
null,295.45,23954,null,null,,,,,,,,,,
null,290.35,23985,null,null,,,,,,,,,,
null,302.01,24015,null,null,,,,,,,,,,
null,304.03,24046,null,null,,,,,,,,,,
null,328.33,24076,null,null,,,,,,,,,,
170.6574726,346.6,24107,null,null,,,,,,,,,,
165.4072691,null,24137,null,null,,,,,,,,,,
null,322.49,24138,null,null,,,,,,,,,,
null,339.63,24166,null,null,,,,,,,,,,
167.5180769,null,24167,null,null,,,,,,,,,,
null,317.3,24197,null,null,,,,,,,,,,
166.591007,null,24198,null,null,,,,,,,,,,
null,311.61,24227,null,null,,,,,,,,,,
168.0333285,null,24228,null,null,,,,,,,,,,
null,314.51,24258,null,null,,,,,,,,,,
168.7535316,null,24259,null,null,,,,,,,,,,
null,320.57,24288,null,null,,,,,,,,,,
164.3767658,null,24289,null,null,,,,,,,,,,
164.3269645,321.72,24319,null,null,,,,,,,,,,
161.1339367,314.9,24350,null,null,,,,,,,,,,
162.4728248,329.87,24380,null,null,,,,,,,,,,
160.1570656,333.71,24411,null,null,,,,,,,,,,
161.3408035,358.8,24441,null,null,,,,,,,,,,
160.4654504,367.47,24472,null,null,,,,,,,,,,
157.3777714,null,24502,null,null,,,,,,,,,,
null,346.98,24503,null,null,,,,,,,,,,
null,361.83,24531,null,null,,,,,,,,,,
161.4940382,null,24532,null,null,,,,,,,,,,
null,329.95,24562,null,null,,,,,,,,,,
157.8393909,null,24563,null,null,,,,,,,,,,
null,323.92,24592,null,null,,,,,,,,,,
156.5522195,null,24593,null,null,,,,,,,,,,
null,323.12,24623,null,null,,,,,,,,,,
154.288177,null,24624,null,null,,,,,,,,,,
null,328.55,24653,null,null,,,,,,,,,,
152.7443375,null,24654,null,null,,,,,,,,,,
null,331.43,24684,null,null,,,,,,,,,,
151.9724178,null,24685,null,null,,,,,,,,,,
149.3961596,322.01,24715,null,null,,,,,,,,,,
146.4099986,337.16,24745,null,null,,,,,,,,,,
145.4848441,343.09,24776,null,null,,,,,,,,,,
142.1385816,374.6,24806,null,null,,,,,,,,,,
139.8228224,374.91,24837,null,null,,,,,,,,,,
138.535651,null,24867,null,null,,,,,,,,,,
null,353.47,24868,null,null,,,,,,,,,,
null,367.14,24897,null,null,,,,,,,,,,
133.026864,null,24898,null,null,,,,,,,,,,
131.5864579,345.86,24928,null,null,,,,,,,,,,
130.4525212,345.84,24958,null,null,,,,,,,,,,
128.1884787,343.8,24989,null,null,,,,,,,,,,
127.054542,347.63,25019,null,null,,,,,,,,,,
126.7978739,350.9,25050,null,null,,,,,,,,,,
126.4377724,null,25080,null,null,,,,,,,,,,
null,341.32,25081,null,null,,,,,,,,,,
125.7673706,355.4,25111,null,null,,,,,,,,,,
126.4894891,null,25141,null,null,,,,,,,,,,
null,359.48,25142,null,null,,,,,,,,,,
126.6427237,null,25171,null,null,,,,,,,,,,
null,392.48,25172,null,null,,,,,,,,,,
131.0712062,null,25202,null,null,,,,,,,,,,
null,399.24,25203,null,null,,,,,,,,,,
131.3795911,null,25232,null,null,,,,,,,,,,
null,374.67,25234,null,null,,,,,,,,,,
null,397.27,25262,null,null,,,,,,,,,,
131.0712062,null,25263,null,null,,,,,,,,,,
131.8948427,362.28,25293,null,null,,,,,,,,,,
null,359.24,25323,null,null,,,,,,,,,,
134.1588852,null,25324,null,null,,,,,,,,,,
134.5707034,353.42,25354,null,null,,,,,,,,,,
134.2623186,365.47,25384,null,null,,,,,,,,,,
135.4977733,364.16,25415,null,null,,,,,,,,,,
134.930805,null,25445,null,null,,,,,,,,,,
null,355.45,25446,null,null,,,,,,,,,,
null,null,25475,null,null,,,,,,,,,,
null,375.84,25476,null,null,,,,,,,,,,
null,null,25506,null,null,,,,,,,,,,
null,380.64,25507,null,null,,,,,,,,,,
null,416.18,25537,null,null,,,,,,,,,,
134.7258536,null,25567,null,null,,,,,,,,,,
null,401.91,25568,null,null,,,,,,,,,,
134.4174688,null,25597,null,null,,,,,,,,,,
null,373.12,25599,null,null,,,,,,,,,,
null,396.32,25627,null,null,,,,,,,,,,
133.3869655,null,25628,null,null,,,,,,,,,,
131.0712062,359.52,25658,null,null,,,,,,,,,,
null,357.48,25688,null,null,,,,,,,,,,
130.760906,null,25689,null,null,,,,,,,,,,
131.9465594,357.37,25719,null,null,,,,,,,,,,
132.2549442,365.8,25749,null,null,,,,,,,,,,
130.7091893,370.08,25780,null,null,,,,,,,,,,
129.8874683,null,25810,null,null,,,,,,,,,,
null,355.27,25811,null,null,,,,,,,,,,
130.8126227,372.91,25841,null,null,,,,,,,,,,
134.1588852,null,25871,null,null,,,,,,,,,,
null,378.74,25872,null,null,,,,,,,,,,
134.6741369,405.52,25902,null,null,,,,,,,,,,
135.4977733,null,25932,null,null,,,,,,,,,,
null,395.41,25933,null,null,,,,,,,,,,
135.4977733,null,25963,null,null,,,,,,,,,,
null,369.57,25964,null,null,,,,,,,,,,
null,388.94,25992,null,null,,,,,,,,,,
135.0859551,null,25993,null,null,,,,,,,,,,
135.1893885,360.22,26023,null,null,,,,,,,,,,
null,362.03,26053,null,null,,,,,,,,,,
136.0647417,null,26054,null,null,,,,,,,,,,
134.2623186,359.83,26084,null,null,,,,,,,,,,
null,366.29,26114,null,null,,,,,,,,,,
133.1800986,null,26115,null,null,,,,,,,,,,
133.3869655,371.07,26145,null,null,,,,,,,,,,
133.3869655,null,26175,null,null,,,,,,,,,,
